month,year,total_dis,total_paid,profit,lossrate,debtIncome
2010/1/1 00:00,2010,70900,84112.27,0.1,0.11,0.23
2010/2/1 00:00,2010,62000,66443.94,0.1,0.08,0.12
2010/3/1 00:00,2010,77977,86880.87,0.1,0.06,0.17
2010/4/1 00:00,2010,50750,60468.3,0.09,0.1,0.21
2010/5/1 00:00,2010,49800,54168,0.1,0.09,0.94
2010/6/1 00:00,2010,75560,95649.14,0.09,0.08,0.2
2010/7/1 00:00,2010,75000,90571.1,0.1,0.05,0.18
2010/8/1 00:00,2010,67600,78825.43,0.12,0.1,0.17
2010/9/1 00:00,2010,72700,86428,0.1,0.11,0.24
2010/10/1 00:00,2010,117100,121878.45,0.1,0.13,0.21
2010/11/1 00:00,2010,107500,112869.08,0.11,0.13,0.19
2010/12/1 00:00,2010,106400,122265.54,0.12,0.1,0.17
2011/1/1 00:00,2011,136850,150064.59,0.12,0.09,0.18
2011/2/1 00:00,2011,91600,93304.38,0.08,0.06,0.74
2011/3/1 00:00,2011,152099,176291.79,0.11,0.1,0.21
2011/4/1 00:00,2011,122817,137570,0.11,0.11,0.18
2011/5/1 00:00,2011,193197,195537.66,0.12,0.1,0.19
2011/6/1 00:00,2011,205519,210565.17,0.13,0.12,0.2
2011/7/1 00:00,2011,177337,199069.24,0.12,0.1,0.19
2011/8/1 00:00,2011,219445,197105,0.13,0.11,0.18
2011/9/1 00:00,2011,274380,279901.21,0.12,0.09,0.2
2011/10/1 00:00,2011,319132,335068.68,0.12,0.1,0.27
2011/11/1 00:00,2011,270500,272169.8,0.12,0.1,0.23
2011/12/1 00:00,2011,390800,365837.29,0.11,0.1,0.22
2012/1/1 00:00,2012,301540,246711.88,0.12,0.1,0.18
2012/2/1 00:00,2012,319800,262644.64,0.11,0.1,0.43
2012/3/1 00:00,2012,363525,308870.27,0.11,0.1,0.2
2012/4/1 00:00,2012,542950,428587.97,0.11,0.09,0.19
2012/5/1 00:00,2012,446400,338112.91,0.12,0.11,0.22
2012/6/1 00:00,2012,435650,304283.54,0.12,0.09,0.23
2012/7/1 00:00,2012,558950,372137.74,0.12,0.09,0.23
2012/8/1 00:00,2012,559382,371058.43,0.11,0.08,0.25
2012/9/1 00:00,2012,443550,279378.63,0.11,0.09,0.21
2012/10/1 00:00,2012,604800,351050.98,0.1,0.08,0.18
2012/11/1 00:00,2012,298853,167079.37,0.1,0.09,0.22
2012/12/1 00:00,2012,311759,156857.35,0.1,0.08,0.23
2013/1/1 00:00,2013,329289,179561.15,0.1,0.08,0.21
2013/2/1 00:00,2013,383950,169197.51,0.1,0.08,0.43
2013/3/1 00:00,2013,419481,147474.76,0.09,0.07,0.21
2013/4/1 00:00,2013,590900,206738.37,0.1,0.09,0.26
2013/5/1 00:00,2013,939759,363232.08,0.09,0.07,0.27
2013/6/1 00:00,2013,934565,316221.77,0.09,0.07,0.24
2013/7/1 00:00,2013,922800,246550.93,0.1,0.08,0.22
2013/8/1 00:00,2013,1145953,271894.77,0.09,0.06,0.22
2013/9/1 00:00,2013,958600,186967.75,0.09,0.08,0.25
2013/10/1 00:00,2013,1912110,306410.35,0.09,0.08,0.25
2013/11/1 00:00,2013,1686971,212192.48,0.08,0.07,0.25
2013/12/1 00:00,2013,2387101,162712.58,0.08,0.07,0.22
2014/1/1 00:00,2014,2538505,102828.2,0.07,0.06,0.24
2014/2/1 00:00,2014,1866772,8024.85,0.07,0.06,0.23
,,,,,,
